V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	V161101_doc	V161104_doc	V161106_doc	V161069_doc	V161072_doc	V161075_doc	V161078_doc	V161098_doc	party_id
4531	406396	41.0	1.0	1	3.0	0.0	0.5	4.0	4.0	4.0	3.5	4.0	woman			asshole								woman			asshole		1.0
4532	406404	48.0	0.0	3	5.0	2.0	0.0	7.0	6.0	5.5	4.0	7.0		bill clinton's wife		he's wholly uncouth			pro-life	extreme partisan behaviour		pro-life	extreme partisan behaviour		bill clinton's wife		he's wholly uncouth		2.0
4533	406405	80.0	0.0	1	6.0	2.0	0.0	2.5	5.5	4.5	3.0	2.5		benghazi and emails	bring jobs back to the us	his language and insensitivity		liberalism	family values and anti political correctness	no backbone	liberalism	family values and anti political correctness	no backbone		benghazi and emails	bring jobs back to the us	his language and insensitivity		2.0
4534	406409	71.0	0.0	1	6.0		0.0							she's a liar				they believe people should be given everything for free	more economically sound		they believe people should be given everything for free	more economically sound			she's a liar				2.0
4535	406410	53.0	0.0	2	2.0	2.0	0.0	4.5	5.0	6.0	3.5	4.5					more for the middle class											more for the middle class	1.0
4536	406412	30.0	0.0	2	0.0	2.0	0.5	5.0	7.0	6.5	1.5	7.0	more good politicians on the democratic side to hold her acc			everything	wanting to create more jobs			their view on taxes			their view on taxes	more good politicians on the democratic side to hold her acc			everything	wanting to create more jobs	0.0
4537	406415	60.0	0.0	3	2.0	2.0	0.0	3.5	4.0	6.0	1.0	5.0	intelligence, diplomacy, experience			attracts racists, misogynists. 	attempts to include minorities, care for the poor. 			backing trump; against single payer healthcare. 			backing trump; against single payer healthcare. 	intelligence, diplomacy, experience			attracts racists, misogynists. 	attempts to include minorities, care for the poor. 	1.0
4538	406420	72.0	0.0	3	4.0	2.0	0.0	2.5	5.5	6.5	2.5	6.5		too slippery and has been getting away with too many things	change in america	stubbornness and ego getting away from him. 		complete lack of cooperation across the aisle. 	handling of health care and the economy	lack of cooperation across the aisle	complete lack of cooperation across the aisle. 	handling of health care and the economy	lack of cooperation across the aisle		too slippery and has been getting away with too many things	change in america	stubbornness and ego getting away from him. 		1.0
4539	406421		0.0	1	4.0	1.0	0.0							she in my opinion is corrupt and untruthful	to change the corrupt sytem			too liberal		they can't make a decision	too liberal		they can't make a decision		she in my opinion is corrupt and untruthful	to change the corrupt sytem			1.0
4540	406423	29.0	1.0	2	3.0	2.0	0.0	6.0	5.0	7.0	2.0	7.0	she knows what she's doing, but i don't support her. 	she has been involved in too many scandals		he has no experience. 	gay rights	rigged two party system. 	civil liberties. 	rigged two party system. 	rigged two party system. 	civil liberties. 	rigged two party system. 	she knows what she's doing, but i don't support her. 	she has been involved in too many scandals		he has no experience. 	gay rights	1.0
4541	406425	68.0	1.0	2	5.0	2.0	0.0	3.5	5.5	6.5	4.5	4.0		be the same as obama	think he will take a differeny direction than obamae	not heard about social security benefits or hoq	social security	the mess they have created in the us	there policies are better cor common people		the mess they have created in the us	there policies are better cor common people			be the same as obama	think he will take a differeny direction than obamae	not heard about social security benefits or hoq	social security	2.0
4542	406433	55.0	0.0	1	4.0		0.0							wall street and special interest politican	appears to be independent of special interest and wall stree			borrow and spend		borrow and spend	borrow and spend		borrow and spend		wall street and special interest politican	appears to be independent of special interest and wall stree			1.0
4543	406436	31.0	0.0	2	4.0	0.0	0.0	2.0	5.5	5.5	3.5	4.0		everything	not a career politician	foreign diplomacy or lack thereof	openness to discuss alternate view points		traditional family views	greed		traditional family views	greed		everything	not a career politician	foreign diplomacy or lack thereof	openness to discuss alternate view points	1.0
4544	406437		1.0	3			0.0																						
4545	406448	32.0	1.0	2	0.0	2.0	0.5	6.0	7.0	6.0	1.0	7.0	she is a strong person and not corrupt			he is the worse person to ever run for elected office	they are fair and looking out for the country			they are morally bankrupt elitists			they are morally bankrupt elitists	she is a strong person and not corrupt			he is the worse person to ever run for elected office	they are fair and looking out for the country	0.0
4546	406454	35.0	0.0	2	3.0	3.0	0.5	3.0	3.0	6.5	2.5	5.5	it is time that we have a female president	she is a liar	he is not a politician	he has a bad temper, with no filter	they believe in social equality	they want to give my money to lazy people	they believe in personal freedom, and personal responsibilit	they have been overtaken by extreme religious people	they want to give my money to lazy people	they believe in personal freedom, and personal responsibilit	they have been overtaken by extreme religious people	it is time that we have a female president	she is a liar	he is not a politician	he has a bad temper, with no filter	they believe in social equality	1.0
4547	406457	43.0	1.0	3	5.0	2.0	0.0	1.5	6.5	6.5	1.0	2.5	experience. 	previous situations that have me question her honesty		lack of experience in politics, unexplained plans, mindset			hope that they strengthen business	their presdiential nominee		hope that they strengthen business	their presdiential nominee	experience. 	previous situations that have me question her honesty		lack of experience in politics, unexplained plans, mindset		2.0
4548	406458	31.0	1.0	2	6.0	1.0	0.5	4.0	6.0	6.0	4.5	4.0		her views on guns	his lack of fear to be honest	his very vocal opinions.  it might get us in trouble. 		i've never been for democratic party. 	gun rights		i've never been for democratic party. 	gun rights			her views on guns	his lack of fear to be honest	his very vocal opinions.  it might get us in trouble. 		2.0
4549	406459	54.0	0.0	3	2.0	2.0	0.0	4.0	5.5	5.0	2.0	4.5	experience	govt layoffs to balance the budget.  white man hater. 	he tells it like it is; not worried about political correct	if he decides he wants more govt contractors vs feds	bigger government	too much $ given to welfare, etc programs	expect all to work for what they get	wants more govt contracting; less govt. 	too much $ given to welfare, etc programs	expect all to work for what they get	wants more govt contracting; less govt. 	experience	govt layoffs to balance the budget.  white man hater. 	he tells it like it is; not worried about political correct	if he decides he wants more govt contractors vs feds	bigger government	1.0
4550	406465	22.0	1.0	1	6.0	1.0	0.0	4.0	4.0	5.0	4.0	4.5		for abortion	against abortion										for abortion	against abortion			2.0
4551	406466	65.0	0.0	3	0.0	3.0	0.0	3.5	6.0	7.0	2.0	5.0	experience			untrustworthy	social responsibility	lack of urgency	some honorable people	lack of will to do the right things for the country	lack of urgency	some honorable people	lack of will to do the right things for the country	experience			untrustworthy	social responsibility	0.0
4552	406467	28.0	0.0	3	0.0	3.0	1.0	2.5	4.5	6.5	4.5	6.0	experience			everything	everything!		fiscal conservatism	hypocrisy, social issues, racism, wealthy greed, obstruction		fiscal conservatism	hypocrisy, social issues, racism, wealthy greed, obstruction	experience			everything	everything!	0.0
4553	406468	50.0	0.0	1	1.0	1.0	0.0	4.0	4.0	4.5	2.5	4.0				arrigant doesn't care about people				how they don't work with dem.  president			how they don't work with dem.  president				arrigant doesn't care about people		0.0
4554	406469	21.0	1.0	2	6.0	3.0	0.0	6.0	6.0	6.5	1.0	6.5	her views about abortion  and education	her honesty is questionable		how he degrades women and other races		constantly contradicting themselves			constantly contradicting themselves			her views about abortion  and education	her honesty is questionable		how he degrades women and other races		2.0
4555	406479	63.0	1.0	2	6.0	2.0	0.0	3.5	5.0	7.0	4.5	3.5		dishonesty, sneaky	not afraid to face the issues	not acting presidential enough		support giving too much away doesn't help the economy	kow how to run the country, more common sense		support giving too much away doesn't help the economy	kow how to run the country, more common sense			dishonesty, sneaky	not afraid to face the issues	not acting presidential enough		2.0
4556	406480	66.0	1.0	1	6.0	2.0	0.0	4.5	5.0	4.5	4.0	3.5		not honest		way he talks about women			mostly conservative	liberal		mostly conservative	liberal		not honest		way he talks about women		2.0
4557	406484	42.0	0.0	1	1.0	1.0	0.0	6.5	4.5	7.0	1.5	6.0	better than trump	sneaky		everything								better than trump	sneaky		everything		0.0
4558	406489	19.0	0.0	1	0.0	3.0	0.0	2.0	5.0	4.0	3.0	5.0	actual shares views of mine, scotus			almost every social view of his, his foreign policy views	social views	attempts to over regulate guns (though some is needed)		economic policy, authoritarian social views	attempts to over regulate guns (though some is needed)		economic policy, authoritarian social views	actual shares views of mine, scotus			almost every social view of his, his foreign policy views	social views	0.0
4559	406490	59.0	1.0	3	3.0	2.0	0.0	4.0	4.5	6.0	4.5	4.0	she is qualified. . . . although i don't totally trust her	don't trust her		he is unqualified and i question his mental stability	i lean slightly more populist with them	they can be too liberal	i lean slightly conservative with them	they seem to perpetuate the haves/have nots status quo	they can be too liberal	i lean slightly conservative with them	they seem to perpetuate the haves/have nots status quo	she is qualified. . . . although i don't totally trust her	don't trust her		he is unqualified and i question his mental stability	i lean slightly more populist with them	1.0
4560	406492	34.0	0.0	3	2.0	2.0	0.0	3.5	4.5	5.5	2.5	5.5				hateful retoric	forward looking	too many complex programs		too ideological	too many complex programs		too ideological				hateful retoric	forward looking	1.0
4561	406495	27.0	0.0	2	5.0	0.0	0.0	4.0	5.0	7.0	2.0	5.0		i do not trust her	hes a republican and i like his view on things	treat people with respect		i dont like their view on certain things	they support the dod		i dont like their view on certain things	they support the dod			i do not trust her	hes a republican and i like his view on things	treat people with respect		2.0
4562	406501	23.0	0.0	3	2.0	2.0	1.0	4.0	4.5	4.0	4.5	3.5	best canidite			everything	better policies and candidates							best canidite			everything	better policies and candidates	1.0
4563	406502	49.0	0.0	2	6.0	3.0	0.0	6.5	4.0	4.0	1.5	6.5		lies, cover ups, socialist, insulting my intelligence	be stable professional and cohesive.  don't apologize. 	unwilling to take advice from experts	gay marriage,  pro choice	insults intelligence.   calls republicans racists if disagree	strong defense, small gov, stimulate economy t	strong defense	insults intelligence.   calls republicans racists if disagree	strong defense, small gov, stimulate economy t	strong defense		lies, cover ups, socialist, insulting my intelligence	be stable professional and cohesive.  don't apologize. 	unwilling to take advice from experts	gay marriage,  pro choice	2.0
4564	406506	65.0	0.0	3	0.0	3.0	0.5	5.5	6.5	6.0	2.5	5.5	experience	too much baggage.  also don't like family dynasties		unfit to be president.  lacks experience, demagogue, untruthf	commitment to social justice; support for courts; less obstr	under obama weak on foreign affairs		obstructionist congress; lack of standing up to trump	under obama weak on foreign affairs		obstructionist congress; lack of standing up to trump	experience	too much baggage.  also don't like family dynasties		unfit to be president.  lacks experience, demagogue, untruthf	commitment to social justice; support for courts; less obstr	0.0
4565	406507	33.0	1.0	3	0.0	3.0	1.0	4.0	5.0	6.5	2.5	6.5	she has a great deal of governing experience	hawkish foreign policy		he's an all around terrible person	progressive social policies	too much favoritism for big business and wall street		regressive social and economic policy positions	too much favoritism for big business and wall street		regressive social and economic policy positions	she has a great deal of governing experience	hawkish foreign policy		he's an all around terrible person	progressive social policies	0.0
4566	406508	58.0	1.0	2	1.0	0.0	0.0	1.0	6.5	5.5	4.0	4.0																	0.0
4567	406511	59.0	1.0	2	3.0	2.0	0.5	1.0	7.0	6.0	3.5	6.0		history of corruption - clinton foundation and collusion	a chance he may run the country like a successful business	he may be a narcissist, but he is still better than clinton		they say they are for the middle class, but they waste	taking care of the united states	i don't completely trust them either. . . 	they say they are for the middle class, but they waste	taking care of the united states	i don't completely trust them either. . . 		history of corruption - clinton foundation and collusion	a chance he may run the country like a successful business	he may be a narcissist, but he is still better than clinton		1.0
4568	406513		0.0	2	2.0	3.0	0.0	5.0	2.0	7.0	5.0	5.0	experience	female		immature		ineffective		stubborn morons	ineffective		stubborn morons	experience	female		immature		1.0
4569	406519	44.0	1.0	3	3.0	2.0	0.0	3.5	5.5	6.0	2.0	4.0	experience			racist,sexist,								experience			racist,sexist,		1.0
4570	406526	38.0	0.0	2	3.0	0.0	0.0	4.0	4.0	5.5	4.0	4.0																	1.0
4571	406527	65.0	0.0	3	0.0	3.0	0.5	6.5	6.0	6.0	2.0	6.0	support of affordablecare	too soft on syria and iran		supreme court appointments	health care & criminal justic	working across the isle with republicans	they are always willing to talk on issues	they are not willing to negoiate	working across the isle with republicans	they are always willing to talk on issues	they are not willing to negoiate	support of affordablecare	too soft on syria and iran		supreme court appointments	health care & criminal justic	0.0
4572	406528	56.0	1.0	1	6.0	2.0	0.0	3.0	6.5	6.5	1.5	5.0		she lies and should be in jail	i think he will fix the mess this country is in										she lies and should be in jail	i think he will fix the mess this country is in			2.0
4573	406530	45.0	0.0	1	3.0	0.0	0.5	5.0	2.5	6.5	2.5	6.0		everything		everything									everything		everything		1.0
4574	406531	21.0	1.0	2	3.0		0.0						she has a sense of direction and puts god first. 			his approach of dealing with politics conflicts								she has a sense of direction and puts god first. 			his approach of dealing with politics conflicts		1.0
4575	406538	67.0	1.0	3	6.0	2.0	0.0	3.5	5.5	6.0	3.0	4.5		her dismal public record over the last 30 years	not a progressive			pro abortion, gay 'marriage', godless	respectful of religious freedom	elitist insider groups	pro abortion, gay 'marriage', godless	respectful of religious freedom	elitist insider groups		her dismal public record over the last 30 years	not a progressive			2.0
4576	406541	58.0	1.0	3	0.0	2.0	0.0	6.0	6.0	7.0	1.0	6.5	she has experience in politics	she comes off very stiff and guarded, with holding of info		he's racist, sexist, misogynistic, a hot head & bully	more focus on the ordinary working person	they sometimes give out mixed messages	well organized	it's focus is the upper class/rich not people of color	they sometimes give out mixed messages	well organized	it's focus is the upper class/rich not people of color	she has experience in politics	she comes off very stiff and guarded, with holding of info		he's racist, sexist, misogynistic, a hot head & bully	more focus on the ordinary working person	0.0
4577	406542	66.0	0.0	2	3.0	2.0	0.0	4.5	4.5	4.5	5.0	2.0	she is not donald trump			attitude								she is not donald trump			attitude		1.0
4578	406543	37.0	1.0	1	0.0	2.0	0.5	5.5	7.0	7.0	1.0	5.5	her plans are precise.  she has experience. 			his racist views and disrespect for women and he has no plan	they're willing to help the little man and they want to make			they allow the rich to get richer they allow police to kill			they allow the rich to get richer they allow police to kill	her plans are precise.  she has experience. 			his racist views and disrespect for women and he has no plan	they're willing to help the little man and they want to make	0.0
4579	406544	27.0	0.0	2	6.0	2.0	0.5	3.5	4.5	6.5	3.0	5.0		her policies	his over all policies, and he would be a stronge leader. 			their over all policies	their over all policies and want for a smaller government		their over all policies	their over all policies and want for a smaller government			her policies	his over all policies, and he would be a stronge leader. 			2.0
4580	406547	30.0	1.0	2	2.0	1.0	0.5	6.0	5.5	4.0	6.0	5.0	she's not trump.  i believe he is going to mess usa up			arrogant, smug,and pompous, he thinks he is super human	democratic, less threatening and more put together							she's not trump.  i believe he is going to mess usa up			arrogant, smug,and pompous, he thinks he is super human	democratic, less threatening and more put together	1.0
4581	406550	78.0	0.0	3	0.0	2.0	0.0	4.5	6.0	4.5	3.5	4.5	1.  well prepared 2. 			1.  unprepared for the presidency 2. disagree with policies	economic and international policies	some support for oil and especially coal		supply side economics, reduce or eliminate inheritance tax,	some support for oil and especially coal		supply side economics, reduce or eliminate inheritance tax,	1.  well prepared 2. 			1.  unprepared for the presidency 2. disagree with policies	economic and international policies	0.0
4582	406551	26.0	0.0	3	0.0	2.0	0.0	3.0	5.0	2.5	6.0	6.0	strong candidate with relevant experience in politics	difference in opinions on certain policies		unfit mentally/emotionally.  racist, unintelligent bigot. 	policies that try to benefit all demographics			old, dated ideologies that aren't fit for our modern world			old, dated ideologies that aren't fit for our modern world	strong candidate with relevant experience in politics	difference in opinions on certain policies		unfit mentally/emotionally.  racist, unintelligent bigot. 	policies that try to benefit all demographics	0.0
4583	406552	40.0	1.0	3	4.0	2.0	0.5	4.5	3.0	5.0	5.0	5.0		she's been bought by lobbyists.  she's a liar. 		he's batshit crazy.  he's a very dangerous man. 		there candidate seems a bit more rational than the republica		the candidate they all endorsed! wtf!!!!!	there candidate seems a bit more rational than the republica		the candidate they all endorsed! wtf!!!!!		she's been bought by lobbyists.  she's a liar. 		he's batshit crazy.  he's a very dangerous man. 		1.0
4584	406553	70.0	0.0	3	2.0		0.0						experience, position of issues, not donald trump			lack of experience, not presidential, not qualified	mostly social progressive	extreme left side of the party		failed to support of almost all of obama's agenda	extreme left side of the party		failed to support of almost all of obama's agenda	experience, position of issues, not donald trump			lack of experience, not presidential, not qualified	mostly social progressive	1.0
4585	406554	63.0	0.0	2	2.0	2.0	0.5	3.5	4.5	6.5	3.5	5.0	her experience and everything she stands for				they believe in science, are progressive, and women's rights	everything! against science disregard for women's rights		everything they stand for these days	everything! against science disregard for women's rights		everything they stand for these days	her experience and everything she stands for				they believe in science, are progressive, and women's rights	1.0
4586	406559	67.0	1.0	2	6.0	2.0	0.5	5.0	5.5	6.0	5.0	5.5		don t trust her	illegal people coming in our country		give away everything	too much free stuff they want to give to people		their weakness	too much free stuff they want to give to people		their weakness		don t trust her	illegal people coming in our country		give away everything	2.0
4587	406563	38.0	1.0	3	3.0	1.0	0.0	4.5	6.5	5.0	4.5	3.5	knowledge and experience in politics	untrustworthy; stance on abortion	views on abortion	personal character; no filter								knowledge and experience in politics	untrustworthy; stance on abortion	views on abortion	personal character; no filter		1.0
4588	406569	59.0	0.0	3	3.0	0.0	0.0	4.5	6.0	5.5	4.5	6.0		criminal		liar criminal		the are all politicians		they are all politicians	the are all politicians		they are all politicians		criminal		liar criminal		1.0
4589	406570	86.0	1.0	1	3.0	2.0	0.0	4.0	4.5	5.0	3.5	3.5	i like what she stands for			im not sure								i like what she stands for			im not sure		1.0
4590	406576	45.0	1.0	2	6.0	2.0	0.5	5.0	5.5	5.5	3.0	7.0		she's a career politician, i'd like to see a business man ru	he's a business man. 										she's a career politician, i'd like to see a business man ru	he's a business man. 			2.0
4591	406585		1.0	2	5.0	2.0	0.0	3.5	6.5	7.0	2.5	4.0						waste money.  to focused on the non working class. 	more conservative. 		waste money.  to focused on the non working class. 	more conservative. 							2.0
4592	406586	63.0	0.0	2	0.0	2.0	0.0	5.5	4.5	7.0	4.5	6.0	best candidate for the job		unfit for duty as president		no racial divide			prejudice to blacks in general			prejudice to blacks in general	best candidate for the job		unfit for duty as president		no racial divide	0.0
4593	406587	66.0	1.0	2	6.0	1.0	0.5	4.5	5.5	7.0	2.0	5.5		4 dead americans in benghazi	immigration			liberalism	conservative		liberalism	conservative			4 dead americans in benghazi	immigration			2.0
4594	406592	41.0	1.0	3	4.0	1.0	0.5	4.5	6.0	7.0	1.5	5.5		i have never liked her/ policies/not the right fit for me	speaks his mind of what people are thinking. 		opened mindness	make everyone pay for everyone else. 	business like	closed mindness on some things (marriage/pro choi	make everyone pay for everyone else. 	business like	closed mindness on some things (marriage/pro choi		i have never liked her/ policies/not the right fit for me	speaks his mind of what people are thinking. 		opened mindness	1.0
4595	406594	46.0	1.0	2	3.0	0.0	0.0	4.0	4.0	4.0	4.0	4.0	women do a better job of running things. 	tired of hearing about her emails. 	he is a good business man. 	he has bad people skills. 								women do a better job of running things. 	tired of hearing about her emails. 	he is a good business man. 	he has bad people skills. 		1.0
4596	406596	48.0	0.0	3	5.0	2.0	0.0	2.5	6.0	6.5	2.0	6.5		ethics		everything	i'm liberal on many social causes	can pinpoint single reason	i'm a supporter of capitalism and less gov	their candidate for president	can pinpoint single reason	i'm a supporter of capitalism and less gov	their candidate for president		ethics		everything	i'm liberal on many social causes	2.0
4597	406600	65.0	0.0	2	0.0	1.0	0.0	4.5	4.0	5.5	4.5	4.0	i feel she is not truthfull	not trust worthy										i feel she is not truthfull	not trust worthy				0.0
4598	406601	73.0	1.0	2	1.0	2.0	0.0	3.0	5.0	4.0	4.5	4.5		dishonesty, lied about many events	economy, immigration, security			support of the nominee who should be in jail	need change	those who don't support the nominee	support of the nominee who should be in jail	need change	those who don't support the nominee		dishonesty, lied about many events	economy, immigration, security			0.0
4599	406605	55.0	0.0	1	3.0	1.0	0.0	5.0	6.5	7.0	1.5	4.0				i think he is a crook				the people in it			the people in it				i think he is a crook		1.0
4600	406608	26.0	1.0	2	5.0	1.0	0.5	4.5	7.0	6.5	2.0	5.5		she is dishonest. 		he is reckless in his actions and words. 	environmental standing	nterfereing with healthcare, tax dollars towards welfare. 	rights of gun ownership, healthcare	their stance on abortion and gay marriage. 	nterfereing with healthcare, tax dollars towards welfare. 	rights of gun ownership, healthcare	their stance on abortion and gay marriage. 		she is dishonest. 		he is reckless in his actions and words. 	environmental standing	2.0
4601	406609	47.0	1.0	2	1.0	2.0	0.0	3.0	7.0	7.0	1.5	6.5		lack of honesty	tells how he feels			weak on terrorism	stands up against terrorists		weak on terrorism	stands up against terrorists			lack of honesty	tells how he feels			0.0
4602	406610	69.0	0.0	3	5.0	2.0	0.0	3.0	5.5	6.5	2.0	3.5		clinton foundation	tax cuts			progressive policies	conservative policies		progressive policies	conservative policies			clinton foundation	tax cuts			2.0
4603	406613	41.0	1.0	2	0.0	2.0	0.0	2.5	7.0	7.0	1.0	7.0	democratic			republican & trouble								democratic			republican & trouble		0.0
4604	406615	67.0	1.0	2	0.0		0.0						she has experience and she is determine to make a change. 			he is a racist and doesn't know anything about politics. 	they are a unify party			they are divided			they are divided	she has experience and she is determine to make a change. 			he is a racist and doesn't know anything about politics. 	they are a unify party	0.0
4605	406616	54.0	0.0	3	6.0	2.0	0.0	5.0	4.5	6.0	3.0	5.5		all policies and lack of credibility	conservative supreme court justices	everything except conservative supreme court justices		liberal policies	conservative principles	compromising core principles	liberal policies	conservative principles	compromising core principles		all policies and lack of credibility	conservative supreme court justices	everything except conservative supreme court justices		2.0
4606	406617	52.0	0.0	1	6.0	2.0	0.0	4.5	5.5	7.0	4.0	6.0		she is a fake	strong minded				better ideas			better ideas			she is a fake	strong minded			2.0
4607	406620	50.0	1.0	2	1.0	2.0	0.0	3.0	6.0	5.0	4.5	4.5	she very clear when asked a question she democratic			he dont listen he dont think before he speaks	they try an comprise an be fair to everyone			all they think bout rich an middle class peoples			all they think bout rich an middle class peoples	she very clear when asked a question she democratic			he dont listen he dont think before he speaks	they try an comprise an be fair to everyone	0.0
4608	406621	56.0	1.0	3	4.0	3.0	0.5	5.0	5.0	7.0	2.5	6.0		she's a traitor, and should be in prison. 	he's changing politics.  not sure if it's good or bad yet. 			healthcare	gun rights	women's rights	healthcare	gun rights	women's rights		she's a traitor, and should be in prison. 	he's changing politics.  not sure if it's good or bad yet. 			1.0
4609	406624	70.0	0.0	3	0.0	3.0	0.0	4.5	6.0	6.0	3.0	6.0	represents my values & interests			he is dishonest, bigoted, unfit to be president	represents my interests, is inclusive	congress dems often unable to move necessary legislation		does not represent my interests, is bigoted	congress dems often unable to move necessary legislation		does not represent my interests, is bigoted	represents my values & interests			he is dishonest, bigoted, unfit to be president	represents my interests, is inclusive	0.0
4610	406625	46.0	1.0	1	0.0	0.0	0.0	4.0	4.0	4.5	1.5	5.5	she loves kids											she loves kids					0.0
4611	406629	70.0	1.0	1	1.0		0.0						lower college tution			racist, liar doesn't pay taxes	they care about middle class, senior citizens	lobbist.  both parties		they never wanted a black man in the	lobbist.  both parties		they never wanted a black man in the	lower college tution			racist, liar doesn't pay taxes	they care about middle class, senior citizens	0.0
4612	406635	34.0	1.0	2	6.0	3.0	0.0	5.0	6.5	6.5	4.0	6.0		lack of accepting where she has failed!	straight forward no non-sense attitude	doesn't seem to listen and is always wanting the last word		takin from wealthy to give to the poor	you earn it, it's yours		takin from wealthy to give to the poor	you earn it, it's yours			lack of accepting where she has failed!	straight forward no non-sense attitude	doesn't seem to listen and is always wanting the last word		2.0
4613	406636	73.0	0.0	3	6.0	2.0	0.0	5.0	4.5	6.0	4.0	4.0		liar. . . . . destroyed emails etc	his basic plans for our country			put the us in deplorable debt. . bad health care etc	trump. . . policies, ethics		put the us in deplorable debt. . bad health care etc	trump. . . policies, ethics			liar. . . . . destroyed emails etc	his basic plans for our country			2.0
4614	406637	60.0	0.0	3	0.0	1.0	0.5	3.5	6.5	6.0	2.5	3.5	her intelligence			he's a bully								her intelligence			he's a bully		0.0
4615	406638	58.0	1.0	1	6.0	2.0	0.0	6.5	6.0	7.0	2.0	7.0		trust	not a politician, not beholded to anyone		i was a  democrat at one time. 	most candiates are liers and   i am over it	they say what they mean and no political correctness		most candiates are liers and   i am over it	they say what they mean and no political correctness			trust	not a politician, not beholded to anyone		i was a  democrat at one time. 	2.0
4616	406641	33.0	0.0	3	1.0		0.0							trust factor		his ego									trust factor		his ego		0.0
4617	406642	23.0	0.0	1	3.0	1.0	0.0	4.0	4.0	4.0	4.0	4.0					gay rights			resistance to change			resistance to change					gay rights	1.0
4618	406643	29.0	0.0	1	0.0	2.0	0.0	2.5	5.5	6.0	2.0	6.0	tiene mas conocimiento en politica exterior que su oponente											tiene mas conocimiento en politica exterior que su oponente					0.0
4619	406645	31.0	1.0	2	5.0	2.0	0.5	5.5	4.5	6.0	4.5	6.0			immigration policy											immigration policy			2.0
4620	406646	44.0	0.0	3	4.0	2.0	0.0	6.5	5.0	7.0	1.5	5.0		don't like her tax policy, obamacare, and i don't trust her. 	he's not hillary clinton	not sure about his fiscal policy	some social issues. 	tax policy!  and the general drift towards socialism. 	generally for lower taxes and hsa's instead of obamacare. 	some social issues and in the back pocket of big oil. 	tax policy!  and the general drift towards socialism. 	generally for lower taxes and hsa's instead of obamacare. 	some social issues and in the back pocket of big oil. 		don't like her tax policy, obamacare, and i don't trust her. 	he's not hillary clinton	not sure about his fiscal policy	some social issues. 	1.0
4621	406650	20.0	0.0	1	1.0	0.0	0.0	4.0	4.0	4.0	4.0	4.0																	0.0
4622	406652	61.0	0.0	2	4.0	1.0	0.0	2.5	4.5	6.0	4.0	4.0		to many bad events in history	he is a busness man			to liberal			to liberal				to many bad events in history	he is a busness man			1.0
4623	406653	62.0	1.0	2	6.0		0.0		4.0	5.5	1.0	4.5		lier		not qualified/temper				leadership			leadership		lier		not qualified/temper		2.0
4624	406654	35.0	1.0	1	1.0	2.0	0.0	3.5	5.0	3.5	3.5	2.5	pienso q podria aser un gran cambio positivo a nuestro pais			el es una persona muy poco confiable y demaciada conflictiva	so un partido mas apegado al pueblo							pienso q podria aser un gran cambio positivo a nuestro pais			el es una persona muy poco confiable y demaciada conflictiva	so un partido mas apegado al pueblo	0.0
4625	406657	60.0	1.0	3	4.0	2.0	0.5	1.5	4.0	5.5	3.5	5.5	she has some experience in federal government. 	i think she lied about sending classified emails. 	he says he will strengthen the military. 	i don't like his comments about women and minorities. 	their support for gays. 	too much support for welfare and giving away taxpayers money	support the 2nd amendment. 	unwilling to compromise to get things done. 	too much support for welfare and giving away taxpayers money	support the 2nd amendment. 	unwilling to compromise to get things done. 	she has some experience in federal government. 	i think she lied about sending classified emails. 	he says he will strengthen the military. 	i don't like his comments about women and minorities. 	their support for gays. 	1.0
4626	406658	58.0	0.0	1	6.0	3.0	0.0	5.0	5.0	7.0	3.0	6.0		she is a liar, and can not be trusted, four dead in benghazi		his odd behavior at times			pro life pro second amendment	apologizes to much		pro life pro second amendment	apologizes to much		she is a liar, and can not be trusted, four dead in benghazi		his odd behavior at times		2.0
4627	406660	37.0	1.0	2	1.0	2.0	0.0	4.5	5.5	7.0	1.5	6.0																	0.0
4628	406661	40.0	1.0	3	5.0	3.0	1.0	6.5	6.0	5.5	2.5	5.5	first female president			not fit to be president	perceived fairness	less progressive	stick to constitution	against lgbtq rights	less progressive	stick to constitution	against lgbtq rights	first female president			not fit to be president	perceived fairness	2.0
4629	406663	43.0	0.0	3	0.0	2.0	0.0	2.0	5.5	5.5	4.0	5.5	she's a democrat			he's speaks like he has a freshman in high school education. 	they typically look out for the middle class	they spend too much money		pay your damn taxes	they spend too much money		pay your damn taxes	she's a democrat			he's speaks like he has a freshman in high school education. 	they typically look out for the middle class	0.0
4630	406664	61.0	1.0	2	1.0	1.0	0.0	3.5	5.5	6.5	3.0	4.0		she's been in white house to long already	new to the gov scene	he needs to think before he speaks									she's been in white house to long already	new to the gov scene	he needs to think before he speaks		0.0
4631	406665	56.0	1.0	3	1.0	2.0	0.5	1.5	6.0	4.5	2.5	5.0	pragmatism and steadiness	not appearing truthful	his different perpective on govt operations	self promotion in lieu of public policy focus	able to show inclusiveness to issues	can become partisan just on principle	focus on individual rights	thinks private enterprise is the answer to everything	can become partisan just on principle	focus on individual rights	thinks private enterprise is the answer to everything	pragmatism and steadiness	not appearing truthful	his different perpective on govt operations	self promotion in lieu of public policy focus	able to show inclusiveness to issues	0.0
